No.; Tex;Result
148; "RT @abo_holeegah: "" بسبب انخفاض سكر وصل الى 75 و هبوط في الضغط وصل الى60/80 ذهبت للمستشفى و بقيت في الملاحظه لوقت "" #كورونا #الكويت #حقوق_ا…;IDK
149; "RT @abo_holeegah: "" الاعلامي محمد الرزيقي مقدم نشرة الأخبار في قناة اليمن اليوم الفضائية سابقا , و مدير اذاعة هو اليمن حاليا , نشر مقال عن…;IDK
150; "RT @abo_holeegah: "" الاخ احمد الكبسي اعلامي يمني مراسل قناة العهد الفضائية و مذيع بقناة اليمن اليوم نشر مقال عن اضرابي في صفحته في الفيسبوك…;IDK
151; "RT @tee0b: لــآ احد ابداً ينسى وطنه مهما كانت ذكرياته مره .. #العراق https://t.co/LpNeCMbo2X;IDK
152; "RT @w__es: تروح لفاتحة بالناصرية تفرلك چادرين وتتباوس وي ٥٠٠ واحد زين هذا الحجي وين يرهم في  زمن الفايروسات  المهم تعشيت كبة   #العراق #كو…;IDK
153; "الأنظمة الدكتاتورية تصنع شعوب مثقفة متعلمة قوية ولاء شعبها للوطن عكس الأنظمة الديمقراطية الذي تصنع شعوب ضالة مجهولة لامحل لها من الإعراب لاتفهم سوى الأكل والشراب والغريزة  #العراق;False
154; "RT @TheBaghdadPostA: كيف تقتل الحكومة المتظاهرين ... بالتعاون مع إيران وميليشياتها.  #العراق #بغداد #العراق_ينتفض #نازل_اخذ_حقي #بغداد_بوست…;False
155; "RT @hu_dly: الدول الإقليمية أدركت أن في #العراق حكومة ""كيولية"" عتاگة فاسدة وبرلمان من الساقطين حايرين بتشكيل الحكومة وتاركين البلد والعراقي…;False
156; "RT @Sandybell____: #العراق شنطاك العراق وهيجي حبيته جسر الجمهورية https://t.co/nrtzaulZn8;IDK
157; "تعقیم مستشفی  مدينة "" باغملك  واللبان لمكافحة #فيروس_كورونا   #كورونا  #ايران #العراق #السعودية https://t.co/7V4niDLYVE;IDK
158; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
159; RT @jasemj67: فعلا اللباس ليس عراقيا شكرا لك;IDK
160; RT @sh_b_j_a: الرئيس #روحاني في #العراق لوقف اغلاق المنافذ الحدودية بين البلدين وبالذات للبضائع الايرانية .....  اكيد ويجب بدأ حملة توعية;IDK
161; "RT @ya97er23: #فايروس_كورونا في #العراق   الموقف الأجمالي لغاية يوم 29 شباط 2020     النجف 1  كركوك 5  الكرخ 5  الرصافة 1  بابل 1 ————…;IDK
162; "RT @4freeiran_1: تعقیم مستشفی  مدينة "" باغملك  واللبان لمكافحة #فيروس_كورونا   #كورونا  #ايران #العراق #السعودية https://t.co/7V4niDLYVE;IDK
163; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
164; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
165; هذا مدير قناة إعلامية يُجيب إجابة شخص خائف يدافع عن شلة فاسدة فشلت وقادت #العراق أبو الثروات إلى الفشل رغم كل الدعم العالمي الذي تلقت;False
166; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
167; "اصبح التعبير عن الرأي حتى على تويتر جريمة وما تصرح به هو هجمة على دول فقط لانك أبديت رأيك بموضوع معين  #الثورة_مستمرة  #الثورة_للشهداء  #العراق  #العراق_النا_مو_الكم https://t.co/S3f1hGmaek;N
168; "RT @EremNews: هل قام #روحاني بزيارة سرية إلى #بغداد؟  #إرم_نيوز #إيران #العراق  https://t.co/JRnTZ2Gzzn;IDK
169; "RT @EremNews: #عاجل.. وزارة الصحة العراقية تعلن تسجيل 5 إصابات مؤكدة جديدة بـ #فيروس_كورونا في #بغداد و #بابل   #إرم_نيوز #العراق #كورونا;IDK
170; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
171; "RT @AbovePolitics37: في تصريح عاجل لسماحة السيد #كورونا  يؤكد سماحته على خلو #العراق من #وزارة_الصحة   ** نعم انها #دولة_فيطي المباركة;IDK
172; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
173; "RT @f_h02_: لبنانيين استشهدوا في #سوريا  فمالها قلوبنا في #العراق تـكـسرت؟!;IDK
174; "RT @shahokurdy: حيدر العبادي يقول: لأول مرة النظام السياسي يقمع المتظاهرين بعد 2003 ! نوري المالكي لم يقمع فقط بل أباد المتظاهرين ، وحيدر ا…;IDK
175; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
176; زيارة #روحاني #العراق تثبت ان الساسة العراقيين غير قادرين على اتخاذ قرارات بدون موافقة ومباركة #ايران! الوجه الآخر #الاحتلال;False
177; RT @samerjawad: بعد رفض الاسعاف الفوري التابع لوزارة الصحة نقلها #الدفاع_المدني يتدخل باسعاف حالة يشتبه بأصابتها بفيروس #كورونا وايصالها من;IDK
178; "RT @samialothman_: #صحيفة_العروبة_اليوم #كتابي: #ملالي_ايران_سقوط_الاصنام #العراق تميز بالمفكرين والأدباء والسياسين والعلماء، كيف يصدق بعضه…;IDK
179; "RT @alsumariatv: ""انصح بغلق المراقد القدسة وايقاف صلاة الجمعة، التي يشارك فيها المئات لانها بيئة تساعد على انتشار المرض""، الدكتور #حازم_الج…;IDK
180; "RT @alhasanitaleb: امريكا تكلف #الامارات بتقسيم #العراق والتحضير لاقليم "" سني"" مكون من الانبار وصلاح الدين ، ليضاف إلى اقليم كردستان  لا تر…;False
181; "RT @MHabibAhi:  #العراق - المتابعين الأعزاء سيكون معنا في نشرة ""العراق اليوم""  الثامنة مساء بتوقيت بغداد -  المحلل السياسي الدكتور ""أحمد ا…;IDK
182; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
183; "RT @FreeIraqi2020: #العراق اعظم دولة في الشرق الاوسط من حيث الموارد الطبيعية ونسبة العقول الشابه والمفكرة التي تريد التعلم والتعايش، والارث…;True
184; "RT @hunalondon1: #حمد خان اباه و #تميم خان #قطر   إبن العلقمي جلب المغول لـ #العراق  و #تميم جلب جنود #تركيا  لـ #قطر    الخيانة واحدة وإن…;IDK
185; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
186; "RT @oalhurra: إذا لم تنعقد جلسة البرلمان الأحد، ستجد أحزاب بعينها نفسها ما بين كمّاشتين يمسك بهما معا برهم صالح، الأولى تتمثل في حقه الدستو…;IDK
187; "RT @hu_dly: الدول الإقليمية أدركت أن في #العراق حكومة ""كيولية"" عتاگة فاسدة وبرلمان من الساقطين حايرين بتشكيل الحكومة وتاركين البلد والعراقي…;False
188; "#العراق  ساحة الخلاني اليوم بعد سيطرة المتظاهرين عليها ، وانسحاب قوات مكافحة الشغب https://t.co/P0XZiflocC;IDK
189; "RT @d_k_almulla: الأخطر من الفيروس هو الإعلام المضلل لان الفيروس لابد أن يكون له مصل أما الإعلام المأجور فليس له علاج. #العراق #كورونا;IDK
190; RT @EX_MOSLIM_IRAQI: المهدي عندما يخرج يهدم  الكعبة. هذه قوية ☢️ .  الك علق الي تريده . #العراق  #كورونا_الكويت #كورونا #الاتحاد_الشباب;IDK
191; "RT @m0saab415: كلام  الشيخ يبرد القلب والروح هذه الكلمات يجيب ان تدرس في المعاهد والجامعات  االعربية و الإسلامية من العراق تعظيم سلام للشيخ…;IDK
192; "RT @Mahaltna: مشهد من فيلم ( الحدود الملتهبه )  هوا من اضخم الاعمال السينمائيه العراقيه التي انتجت في الثمانينيات وتخلد بطولات وتضحيات رج…;IDK
193; "RT @f_h02_: لبنانيين استشهدوا في #سوريا  فمالها قلوبنا في #العراق تـكـسرت؟!;IDK
